cidade,área,quartos,banheiros,vagas garagem,andar,animal,mobiliado,condomínio,valor aluguel,valor IPTU,valor seguro,total,valor aluguel reduzido
Brasília,411,5,4,2,13,1,0,139,2678,230,113,3160,1997.5349208075593
Ananindeua,247,1,2,2,6,1,1,373,808,1861,47,3089,574.1738271659723
Montes Claros,190,5,3,4,18,0,0,1679,8013,1936,97,11725,5785.47800902417
São Paulo,268,2,1,0,16,0,0,2828,1763,310,151,5052,1365.5115662371275
Ananindeua,30,4,2,0,1,1,0,426,3217,1796,168,5607,2334.656444816381
Contagem,311,1,2,2,7,1,1,3178,8707,1845,184,13914,6921.850556786836
Sorocaba,225,3,3,3,18,0,1,2669,9593,993,167,13422,7607.209353608507
São Gonçalo,301,2,3,0,14,0,0,4014,4387,1470,36,9907,3160.33191306235
Cuiabá,99,1,2,4,8,0,1,686,2316,859,126,3987,1806.1766201024375
Rio de Janeiro,374,3,3,1,16,1,0,3598,7165,819,110,11692,5612.505971941387
Piracicaba,120,5,3,4,18,1,0,3072,973,138,163,4346,723.1940742265774
Goiânia,218,3,3,2,6,1,0,2390,2425,188,97,5100,1764.2348630406866
Sorocaba,480,2,3,3,2,1,1,3237,1025,1292,53,5607,778.3854098113142
Caxias do Sul,479,2,2,1,2,1,0,1737,838,1496,121,4192,655.3585055627318
Ananindeua,72,1,3,1,16,1,1,1189,4656,1969,185,7999,3358.5731337935176
São Luís,447,3,1,4,4,0,1,4854,7432,1293,157,13736,5456.847181635257
Belo Horizonte,209,1,2,2,9,0,0,899,1055,1753,151,3858,826.129293779932
Duque de Caxias,37,3,3,4,19,1,1,923,1042,314,26,2305,760.9358275196734
Vila Velha,201,2,1,2,15,1,0,3417,3922,868,194,8401,2966.3644996121593
Porto Alegre,176,1,2,3,10,1,0,4382,5099,702,166,10349,3669.3303781065274
Barueri,297,2,2,4,17,0,1,3355,1824,1273,90,6542,1441.3465087657557
Natal,282,1,2,0,5,1,0,1742,9696,1138,62,12638,7494.472182322689
Barueri,122,4,1,0,19,1,0,4526,4712,1275,82,10595,3365.5674838318428
Montes Claros,496,4,3,4,3,0,0,3856,4919,452,199,9426,3614.3446263107217
Ribeirão Preto,174,2,1,2,13,1,1,1193,3435,1068,119,5815,2684.6936165054813
Belo Horizonte,188,2,4,2,3,1,0,4995,1905,131,194,7225,1451.135964602921
Betim,160,4,3,3,16,1,1,3266,7851,1485,198,12800,5927.67560425905
Curitiba,142,4,1,3,7,0,1,3590,9287,1477,100,14454,6581.905636404968
Guarulhos,309,5,1,3,6,0,0,1301,6484,1202,27,9014,4789.352354381911
Duque de Caxias,144,1,3,4,0,0,1,599,7597,229,58,8483,5777.081925559999
Osasco,124,5,1,4,16,0,0,76,2566,1334,25,4001,1881.4580034566427
Goiânia,88,2,3,2,18,0,0,1705,7320,153,150,9328,5262.4809464756345
Aracaju,119,4,4,2,4,1,0,3992,9333,1671,108,15104,7144.056279485526
Florianópolis,186,4,1,1,7,1,1,3589,7572,841,186,12188,5819.698997398162
Vitória,489,1,1,2,4,1,1,3523,5838,1513,155,11029,4467.627987814864
Teresina,314,4,2,0,9,0,0,1449,6925,1046,43,9463,5471.084160056503
Vila Velha,131,5,1,2,5,1,0,4319,9243,1095,106,14763,7299.478079652794
Campo Grande,163,5,3,1,10,1,1,188,5683,1913,146,7930,4454.9538275043715
Jaboatão dos Guararapes,414,4,3,2,15,0,0,4262,4276,1733,75,10346,3040.407666702179
Rio de Janeiro,393,1,2,4,6,1,1,2555,7568,697,173,10993,5835.546781775588
Ananindeua,165,5,2,1,2,1,0,1770,1165,935,158,4028,866.0127699348959
Rio de Janeiro,174,1,2,2,11,0,0,3878,5428,14,162,9482,3809.537794395331
Ribeirão Preto,438,3,1,3,17,0,0,3036,5529,231,181,8977,4141.554630087983
Recife,280,2,4,3,11,0,1,3127,8599,1717,33,13476,6285.167749740398
Campo Grande,354,5,1,0,3,1,1,3124,8340,414,199,12077,5900.236265062553
Recife,180,5,3,4,19,1,1,4628,1948,1075,85,7736,1381.482984056075
São José dos Campos,371,1,2,1,12,0,1,4493,5075,1420,135,11123,3686.0878429822537
Osasco,385,2,3,3,0,1,1,3833,2453,1154,45,7485,1929.2356742484458
Jundiaí,378,3,2,4,7,0,1,361,2301,1914,104,4680,1728.140124748458
Teresina,80,4,1,0,13,0,1,2147,8621,453,186,11407,6726.818280187678
Feira de Santana,411,1,3,4,14,0,0,1675,9078,1524,50,12327,6581.4827735300905
Boa Vista,354,3,3,2,8,0,1,1714,5950,735,69,8468,4539.18328734181
Boa Vista,295,4,3,2,8,1,0,2573,1545,433,152,4703,1186.8060130763502
Salvador,164,3,4,1,3,1,1,2928,6041,420,53,9442,4298.049688325302
Aracaju,231,4,2,0,16,1,0,4743,1050,1732,30,7555,760.5042915389243
São Luís,365,1,1,2,17,1,1,2669,4876,1729,134,9408,3425.2454552209847
Joinville,69,2,2,0,13,0,0,4407,5783,608,190,10988,4069.985646696307
Florianópolis,497,1,3,1,0,0,0,3726,5072,1065,174,10037,3560.120596447782
Goiânia,378,4,2,2,15,1,1,3451,3422,37,100,7010,2514.331521378169
Campinas,226,4,4,4,8,0,1,3311,8071,1853,149,13384,6228.915418458819
Sorocaba,350,1,4,3,9,1,0,1154,4198,1770,193,7315,3011.4020713672535
Rio de Janeiro,207,5,1,0,7,1,0,4677,2251,580,49,7557,1677.430280907795
São José dos Campos,351,2,4,3,17,1,1,4613,7349,580,173,12715,5580.70672937036
São José dos Campos,95,5,3,3,9,0,1,3082,1856,1094,45,6077,1461.0232223823773
Manaus,41,1,3,3,12,0,1,621,967,962,84,2634,679.9149252279499
Manaus,438,5,2,1,16,0,1,434,1797,869,175,3275,1361.5336460330502
Vila Velha,40,4,2,1,18,0,1,2687,1359,1914,119,6079,952.6325286881791
Teresina,476,4,1,4,7,1,0,4934,9016,643,113,14706,6952.44915513063
João Pessoa,60,1,2,2,7,0,1,3772,7023,561,131,11487,5126.41047574696
Vitória,171,2,2,0,17,1,0,2976,4566,1552,126,9220,3378.0062677118563
Manaus,228,4,3,2,11,1,0,4793,7207,1728,128,13856,5627.256099057132
Curitiba,344,2,1,3,13,0,1,1552,6513,1637,167,9869,4692.171596308506
Brasília,332,5,4,1,8,0,1,2244,3394,1341,130,7109,2611.309662760593
Caxias do Sul,165,3,4,0,2,0,0,2006,5778,381,179,8344,4225.558187577019
Belo Horizonte,335,4,3,3,13,1,0,2549,7272,1982,188,11991,5809.763615909521
Niterói,291,5,3,4,14,0,0,2694,9264,1856,165,13979,6540.214809107569
Duque de Caxias,481,5,2,1,2,1,0,4302,6164,1650,163,12279,4669.207082947041
Contagem,398,4,4,1,14,0,0,1725,4408,1475,198,7806,3446.87630355817
Florianópolis,121,1,3,4,5,0,0,2703,3342,1115,25,7185,2483.4343347709732
São Gonçalo,300,1,2,4,1,0,0,979,3907,1064,38,5988,3008.927574609094
Vitória,457,5,4,0,4,1,1,3173,8050,465,158,11846,5895.334415427785
Piracicaba,92,5,4,2,10,1,1,1609,9787,1557,27,12980,7693.954251105847
Teresina,343,4,2,4,5,1,0,3130,2825,805,57,6817,2084.170540532002
Niterói,201,4,4,4,12,1,1,161,8396,1737,196,10490,6261.656048627078
Boa Vista,30,4,3,2,19,1,1,946,8928,620,70,10564,6820.274162322036
Betim,424,1,4,2,15,1,1,3166,620,587,150,4523,494.97535232531266
Guarulhos,299,4,3,1,9,0,1,2150,4382,1685,11,8228,3280.9296620202313
Belém,497,1,4,3,16,1,1,2202,2580,728,99,5609,1919.7117241206906
Duque de Caxias,417,4,4,4,4,0,0,1647,5197,1398,20,8262,3755.2946167351115
Goiânia,65,2,2,2,9,1,0,3850,6852,1144,39,11885,4998.542748610645
Piracicaba,39,4,2,2,11,1,1,2940,6396,1988,25,11349,4748.361345328619
Fortaleza,137,3,4,3,12,0,1,741,7670,1422,75,9908,6055.262644130558
Rio de Janeiro,129,2,4,0,12,0,0,2302,4663,1092,189,8246,3356.407842261663
Maceió,390,4,2,2,5,1,0,653,6259,351,175,7438,4492.419471922268
Macapá,307,5,4,2,17,1,1,1711,9941,1240,12,12904,7352.804698977085
Osasco,348,2,2,2,4,0,1,1327,7574,1819,42,10762,6006.792755583408
Goiânia,48,5,3,1,16,0,0,2833,566,338,180,3917,407.69872275880584
Goiânia,202,5,2,3,7,1,1,3382,1986,312,74,5754,1480.0726703062908
Osasco,209,3,3,4,14,1,0,4443,9180,1903,16,15542,6996.69133251349
Boa Vista,430,2,2,0,9,0,1,2983,4502,883,121,8489,3292.3855000587573
Sorocaba,447,4,3,0,11,1,1,2149,4494,1781,72,8496,3557.810161368484
Vila Velha,306,5,3,3,8,0,1,2189,1285,1916,85,5475,1001.6047628299668
Brasília,451,1,3,2,10,0,1,950,9108,1638,28,11724,6706.593701799289
Joinville,472,4,4,2,11,1,0,3522,1143,303,55,5023,896.6865843403154
Serra,130,1,3,1,6,0,1,3154,9340,151,82,12727,6543.135353973234
Boa Vista,58,4,1,3,14,1,0,1085,6813,756,135,8789,5069.3710635515645
Rio de Janeiro,193,5,3,0,19,0,0,3422,5928,145,49,9544,4315.366965181999
Boa Vista,24,1,4,0,8,0,0,2340,6089,853,198,9480,4558.9607049167635
Goiânia,263,5,3,3,9,1,0,1386,5132,1291,154,7963,4089.2056920055174
Serra,391,5,1,0,10,0,0,3923,4636,725,184,9468,3351.375923184114
Piracicaba,490,2,4,3,10,1,1,4462,8368,1266,131,14227,6392.12205632184
Osasco,97,3,1,0,10,0,1,1049,7739,432,187,9407,5593.279723366352
Niterói,60,1,2,0,2,0,0,26,5725,565,39,6355,4057.2427456495498
Vitória,242,3,3,2,3,1,0,2421,1650,266,51,4388,1310.4920406450087
São Luís,73,5,2,0,8,0,1,2119,3729,1081,100,7029,2852.0208437649685
Campo Grande,231,2,3,0,4,1,1,2030,9531,28,80,11669,6952.230382271838
Florianópolis,272,3,3,2,15,1,0,1524,5593,1908,194,9219,4461.432382325058
Sorocaba,477,3,4,3,13,0,1,1694,4162,103,80,6039,3035.794572339934
Duque de Caxias,240,3,1,0,12,1,1,1917,2411,485,121,4934,1835.052900313252
Aracaju,270,3,3,0,4,1,1,2729,3774,903,102,7508,2857.754832191189
Joinville,335,1,3,1,5,1,1,1885,8515,270,147,10817,6281.6019595554035
Aracaju,493,3,2,3,15,1,1,4757,6460,155,139,11511,5153.000878499879
Caxias do Sul,267,1,1,4,10,0,1,4880,3584,1209,136,9809,2775.556752394212
Florianópolis,28,5,2,4,6,1,0,4260,2355,1300,133,8048,1663.1032509272918
Boa Vista,371,2,4,4,1,1,1,3878,7324,704,124,12030,5224.1194937264945
Niterói,297,2,3,2,5,1,0,3610,1858,1938,175,7581,1418.489019125025
Campo Grande,268,2,2,0,16,0,1,3317,2646,1209,150,7322,2005.2941262221195
Belo Horizonte,70,4,4,4,16,1,0,3732,1432,590,34,5788,1045.2753319343008
Jundiaí,451,4,3,4,1,0,0,2641,5124,1269,84,9118,3603.7465964724856
Ribeirão Preto,106,3,4,2,15,0,0,2532,9342,696,128,12698,6699.908663051906
São Paulo,436,1,3,4,16,1,0,1353,5871,1552,41,8817,4176.077875492854
Porto Alegre,402,5,1,2,17,1,1,1244,2231,464,71,4010,1725.7150849882164
Porto Velho,459,3,3,0,13,1,1,4703,3177,1043,94,9017,2309.005616597956
Manaus,268,3,2,3,16,1,1,4539,4953,1522,198,11212,3796.2714949115416
Campinas,106,2,2,2,1,0,0,3880,893,533,11,5317,683.4766316313564
Joinville,318,1,3,0,5,1,0,2096,7580,1224,53,10953,5523.827481133296
Belo Horizonte,275,5,2,3,7,0,1,46,4372,1030,21,5469,3153.346704783969
Guarulhos,423,5,2,3,19,0,0,901,1402,848,17,3168,1022.3023020158168
Osasco,248,1,3,3,15,1,1,3856,1309,210,157,5532,935.8943693787908
Rio de Janeiro,325,4,3,4,6,1,1,775,4852,1488,18,7133,3434.7086043360714
Ananindeua,467,1,1,1,8,0,0,1643,697,1222,196,3758,514.7197455817961
Niterói,140,5,4,2,19,0,0,2116,2756,681,123,5676,1946.5278762663384
Londrina,151,1,1,0,3,1,1,4822,8313,323,119,13577,6543.580330677043
Brasília,191,4,1,4,8,0,1,399,1545,627,179,2750,1136.8885586954839
Brasília,402,4,4,1,2,1,1,1569,6276,873,92,8810,4625.322915083756
Brasília,426,2,2,0,12,1,1,948,5467,737,89,7241,4181.536844246546
Mogi das Cruzes,471,2,4,0,11,1,0,2346,4525,1066,112,8049,3559.9568250091274
Caxias do Sul,327,3,3,0,9,1,0,187,9616,1833,39,11675,7210.651664715182
Duque de Caxias,99,1,2,3,0,1,1,1636,861,142,87,2726,614.2905260120999
Jundiaí,110,3,2,1,14,0,1,53,9922,1052,54,11081,7192.406358279234
Boa Vista,468,5,3,2,5,0,0,1424,9722,1238,152,12536,7292.176415188317
Mogi das Cruzes,87,5,4,2,14,1,0,2005,9972,1651,80,13708,7052.574165887324
Boa Vista,396,4,2,2,12,0,1,1514,2883,1349,178,5924,2203.154640614085
Cuiabá,256,3,4,3,1,0,0,797,4481,48,18,5344,3288.7184937857014
Uberlândia,268,4,3,4,4,1,0,3170,1110,720,180,5180,852.1402056976423
Fortaleza,402,3,4,1,10,1,1,810,7243,773,23,8849,5427.887707064162
Maceió,366,1,2,4,2,1,1,3999,9768,432,21,14220,7109.680097463829
Niterói,441,5,2,4,14,0,0,560,9011,524,71,10166,6981.417737502358
Montes Claros,126,1,1,3,7,0,0,181,3597,527,86,4391,2605.9156148510474
Vitória,340,1,3,1,9,1,1,1006,3384,1226,25,5641,2586.581715138114
São Paulo,178,1,4,2,13,1,0,3843,6175,575,161,10754,4537.040536060391
Belém,160,3,2,0,13,1,1,2597,4636,277,137,7647,3608.53302142615
Campo Grande,429,1,2,4,19,1,0,694,4001,705,160,5560,2954.4893279967564
Porto Velho,245,2,3,3,2,1,0,4531,5944,1946,71,12492,4312.06926484422
Uberlândia,158,2,1,0,10,0,1,4885,7138,1868,37,13928,5170.668818210858
Aracaju,182,3,1,2,10,1,1,3070,2291,547,199,6107,1717.9656630994075
Curitiba,184,5,3,3,0,0,0,1296,5903,1829,160,9188,4333.037430460601
Natal,133,1,1,2,6,1,1,3772,4265,972,97,9106,3196.71265029406
Teresina,238,2,2,2,18,1,0,2533,8368,154,106,11161,6401.453639106312
Londrina,284,1,3,3,16,0,0,4502,6182,1681,164,12529,4595.613641779186
Aracaju,492,2,1,4,3,0,1,14,3902,1595,195,5706,2911.9133406868305
Belo Horizonte,393,5,3,1,11,0,1,166,2014,176,153,2509,1487.8892331081133
Porto Velho,410,5,1,2,14,1,0,977,4894,727,17,6615,3504.9436335261666
Natal,88,1,1,4,2,0,0,4074,6502,148,92,10816,5139.821984481967
Duque de Caxias,483,5,4,0,9,1,0,577,9567,957,35,11136,7359.346975939074
Santo André,396,5,3,2,15,1,0,4074,8051,138,42,12305,5999.0965807075
Aracaju,296,2,1,3,6,1,1,2286,6415,761,120,9582,4971.489063872348
Goiânia,91,4,4,3,12,1,1,2349,1629,1242,114,5334,1299.2311719128777
São Gonçalo,36,3,4,3,13,0,1,4672,7408,138,141,12359,5682.238392147048
Contagem,205,4,3,2,5,1,0,3394,7564,1002,123,12083,5633.799493667607
Boa Vista,480,5,2,0,9,1,1,834,5932,1775,145,8686,4378.163477349443
Londrina,195,5,3,4,5,1,1,2672,3678,822,125,7297,2755.262762025201
Porto Alegre,376,3,4,2,14,1,1,878,1856,997,75,3806,1299.4226072205663
Brasília,25,3,3,2,4,0,1,1174,8543,469,28,10214,6587.166115874912
Manaus,198,5,3,3,16,1,0,3542,7322,581,19,11464,5152.936539258148
Guarulhos,65,5,1,3,17,0,1,3696,4360,585,132,8773,3363.994443948671
Jaboatão dos Guararapes,76,4,3,0,15,1,1,4891,2224,1086,18,8219,1707.148690050237
Barueri,61,3,3,4,16,1,1,977,1426,832,125,3360,1040.2463346584916
João Pessoa,455,1,4,3,0,1,1,2300,1638,809,193,4940,1307.8553355388233
Brasília,329,5,3,1,9,1,0,3663,4208,1775,55,9701,2990.896802135292
Caxias do Sul,109,5,3,2,16,1,0,938,4689,1772,108,7507,3363.7789470648527
Florianópolis,234,3,3,0,7,1,1,2105,2984,1617,158,6864,2332.0416888444197
Joinville,214,3,3,3,2,0,1,3440,5146,63,160,8809,3639.5306169087776
São José dos Campos,414,3,2,1,14,0,0,377,1762,1836,57,4032,1243.4561030833231
Joinville,89,1,3,3,11,1,1,3291,5498,462,32,9283,4015.2315793272574
Porto Alegre,27,2,3,4,6,0,1,3278,4734,647,191,8850,3507.7870212037606
Goiânia,209,1,3,1,1,0,0,4997,4253,1237,21,10508,3153.670740017447
Belém,107,3,2,1,11,0,0,3980,9277,1044,63,14364,6729.129911798845
Campo Grande,284,4,1,0,7,0,0,216,7805,464,161,8646,5737.807745890599
Fortaleza,335,1,4,3,12,1,0,616,3292,1085,100,5093,2452.695859233327
Recife,255,4,4,0,19,1,1,1818,6079,1504,102,9503,4444.059882337819
Sorocaba,261,3,4,1,0,0,0,181,4702,409,61,5353,3750.0754773331582
Belém,489,2,1,2,5,0,1,1771,7003,800,179,9753,5019.734939841326
Teresina,435,2,1,4,13,0,0,3386,8303,1407,79,13175,6415.703198330974
Guarulhos,124,5,4,1,9,1,0,3695,5021,262,79,9057,3897.4752677298898
Belo Horizonte,454,5,4,4,19,0,1,507,1302,219,144,2172,922.8459926946056
Jundiaí,406,2,1,1,15,1,0,926,1679,753,89,3447,1176.8316824486296
Piracicaba,468,4,4,4,0,0,0,4996,7050,594,48,12688,4948.9772365291265
Montes Claros,357,1,4,3,11,1,0,4209,7796,1970,104,14079,5705.068567131011
Maringá,223,5,4,1,19,0,0,1774,972,952,181,3879,754.597726580071
Santo André,472,3,4,0,4,1,0,806,9739,615,118,11278,6934.355406572951
Ribeirão Preto,396,2,3,1,3,0,0,1500,7357,218,66,9141,5389.514013113876
Cuiabá,161,5,1,3,7,0,0,3927,643,582,12,5164,485.4401637258488
Serra,265,4,3,4,8,1,1,4031,5557,266,36,9890,3951.625942044147
Sorocaba,285,3,3,4,2,1,0,3281,1140,1529,96,6046,876.6476591176946
Caxias do Sul,325,5,3,1,3,0,1,4800,2681,1640,29,9150,1894.6056955766574
Cuiabá,309,2,2,1,18,1,1,210,8292,1761,110,10373,6045.907052530403
Fortaleza,58,2,1,0,10,1,1,346,5401,1501,128,7376,4109.028529623449
Manaus,407,5,2,4,18,0,1,292,2230,641,38,3201,1575.8105642308192
São Gonçalo,408,1,1,3,16,0,1,464,7724,1425,52,9665,5708.231883089216
Manaus,337,1,1,3,18,1,0,4742,7498,1054,140,13434,5614.068020786723
São José dos Campos,124,2,3,0,6,1,1,4844,9618,1763,164,16389,7278.9628313552175
Florianópolis,418,2,4,1,1,1,1,821,9809,1100,157,11887,7611.7500573530815
Cuiabá,391,2,4,2,7,1,1,3039,8696,519,174,12428,6120.292727547185
Curitiba,141,5,3,3,17,0,1,554,4724,1945,135,7358,3572.263892790671
Sorocaba,119,5,4,2,15,0,1,949,4711,1120,13,6793,3751.5673272767003
Campinas,305,2,4,2,0,1,0,1302,2937,1362,175,5776,2265.2822241414165
Belo Horizonte,487,3,3,4,18,0,1,3087,8666,1805,173,13731,6241.4495438949325
Belo Horizonte,53,3,3,4,14,0,0,4445,854,319,28,5646,617.8504680283858
Vitória,150,5,4,4,14,1,0,3548,5783,487,177,9995,4386.1301839948
Ribeirão Preto,203,2,1,4,10,1,1,4603,1687,535,22,6847,1191.016691102564
Caxias do Sul,186,4,4,1,16,0,0,435,6050,185,35,6705,4619.060405141719
Belém,55,1,1,2,11,0,1,117,8954,1438,198,10707,7072.197683431467
Caxias do Sul,467,1,4,4,8,0,1,4854,4837,435,60,10186,3751.899323499193
Joinville,371,5,4,1,8,0,1,1304,6685,643,189,8821,5265.765621146977
Florianópolis,389,4,2,4,7,0,1,2603,9690,140,66,12499,7307.342420334694
Porto Velho,424,1,2,0,1,0,1,1626,4664,754,164,7208,3637.9895201227846
Belém,449,5,3,2,5,1,1,484,7086,234,28,7832,5257.471712709406
Ribeirão Preto,278,2,4,1,10,1,0,886,5362,463,136,6847,3920.4087129352693
Montes Claros,60,5,4,4,11,1,1,339,7077,743,17,8176,5376.316925068534
São Paulo,155,3,1,3,1,1,1,3747,3597,884,20,8248,2776.988575067921
Feira de Santana,208,5,2,1,10,1,1,4656,4331,1286,25,10298,3285.141378753164
Guarulhos,25,4,3,1,18,0,1,3626,4679,1946,135,10386,3394.648038191015
Rio de Janeiro,68,3,1,0,6,1,1,5,8882,784,47,9718,6969.64224133459
Piracicaba,261,4,2,3,18,0,0,326,7363,785,118,8592,5391.811207360831
Vila Velha,479,5,4,1,5,0,1,4563,2128,208,177,7076,1496.1202267245803
Macapá,107,3,1,0,0,1,0,3467,7026,1567,25,12085,5043.7530979200665
São Paulo,202,2,2,4,5,1,0,460,6380,500,158,7498,4917.1710088000655
Cuiabá,38,2,3,3,14,1,0,3892,7124,1470,135,12621,5349.034170418753
Maceió,299,3,2,2,14,0,1,2076,3602,1350,167,7195,2859.531571213394
Niterói,110,1,4,3,8,0,1,1320,3791,1938,82,7131,2884.9708323819495
Mogi das Cruzes,135,5,4,2,12,1,1,1656,9307,1124,162,12249,6895.45450287907
Mogi das Cruzes,294,2,1,1,1,0,0,2471,7751,1598,199,12019,5764.130174791427
Mogi das Cruzes,471,3,2,2,6,0,0,3742,5513,93,170,9518,4070.8415978757607
Rio de Janeiro,357,1,1,4,1,0,1,1686,4767,127,45,6625,3455.9820894015534
Aracaju,412,2,1,2,7,1,1,4519,6000,1808,152,12479,4593.715995162435
Porto Alegre,380,3,2,4,3,1,1,2743,2325,96,101,5265,1821.8418228535777
São Luís,370,5,3,3,12,1,1,2101,4695,1838,112,8746,3511.886743788506
Goiânia,293,3,1,0,14,1,0,1171,9132,1804,114,12221,6752.573865464602
Osasco,492,4,3,0,8,1,1,481,9464,1509,97,11551,7502.845246916352
Duque de Caxias,198,4,4,2,15,0,0,4158,9938,179,46,14321,7333.8394079395575
Ribeirão Preto,91,4,1,3,3,1,0,3079,9116,413,118,12726,7180.159275363972
Goiânia,264,3,3,4,11,0,1,4788,7164,775,175,12902,5662.771842042706
São Luís,51,1,3,0,9,1,0,953,1194,1609,136,3892,871.9381529896776
Goiânia,290,1,1,1,7,0,0,2236,9081,1574,18,12909,6653.410145100516
Maceió,110,3,4,1,6,0,0,2233,1756,115,171,4275,1262.200162863601
Aracaju,469,2,3,2,11,0,0,2707,7134,1367,83,11291,5525.98908811895
Ananindeua,486,2,3,2,2,1,0,3174,4448,1858,136,9616,3532.659063720475
Florianópolis,112,1,1,4,3,0,1,2627,5591,359,142,8719,4093.1514314778387
Jundiaí,210,5,2,1,18,0,0,1464,6692,290,138,8584,4989.92100846716
Duque de Caxias,325,3,4,4,15,1,1,3270,1460,823,177,5730,1100.2734078522278
Aracaju,137,3,4,0,11,0,0,1833,5046,1814,30,8723,3933.253972561321
